Task,Method,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Pearson_mean,Pearson_std,MaxAE_mean,MaxAE_std,MedAE_mean,MedAE_std
SOH_40to60,GaussianNoise,iTransformer,0.01282460892968978,0.00028969110381376305,0.017159633532152253,0.00019501654843247698,1.4557705248874786,0.03107900217068787,0.8854592810590327,0.002607952876394486,0.9418470436717833,0.001513956986436637,0.08899514080322786,0.006102401350862808,0.010177879915733623,0.0005125180252327945
SOH_40to60,TimeWarping,MLP,0.011538656774539083,0.00031186602456741684,0.0145215722342411,0.00021521511557583787,1.3181293541598975,0.03351156931022948,0.9179628704485804,0.002451728657684718,0.958365142388948,0.0009080456875646708,0.07057418147896359,0.004619480279314844,0.009966248524830468,0.0003087519202067071
SOH_40to60,TimeWarping,CNN,0.010435903379870656,0.00047044899612239924,0.013805558934354794,0.0003670640845238259,1.1913377945672647,0.0526813905113573,0.9258172902633579,0.003916601470298836,0.9627267854135043,0.0020098832018657265,0.06935071783441289,0.0009870640219975834,0.0087617487688747,0.0009132040772566317
SOH_40to60,TimeWarping,RNN,0.011511215518090482,0.000373760312287302,0.014814282494880551,0.00047520409949488874,1.3185471070646986,0.04328831770637402,0.9145532233515044,0.005520545055044393,0.9565306217132793,0.002902991995969536,0.07370775938320677,0.0023186771918947305,0.010231993751707292,0.0002247223616901841
SOH_40to60,TimeWarping,LSTM,0.013101416904709774,0.0013434077296638888,0.01740227772297679,0.0023352603506789733,1.5025979603876598,0.1533890587545705,0.8800912006787938,0.03445321782845435,0.9402165290267513,0.016562530615587302,0.08108955517744387,0.006572725338595172,0.010429070671596995,0.000348114881781409
SOH_40to60,TimeWarping,Transformer,0.01085634187383344,0.0002292831958547643,0.01457379585714833,0.00031830704289927906,1.236517958255048,0.026511249852691463,0.9173504897987674,0.003588223772734668,0.9589551237603706,0.0016208345999507026,0.08027995129440339,0.005510785296754997,0.00858112049603551,0.0002917848383275786
SOH_40to60,TimeWarping,PatchTST,0.016937080176259955,0.0019211082752384478,0.02208748121466675,0.002426769464396448,1.9264878629042343,0.2168240536360362,0.8079601225877452,0.04007736922823106,0.9027161719715444,0.019784443248675107,0.09095056186545078,0.003366364463612957,0.01314653026019219,0.0013749281578471178
SOH_40to60,TimeWarping,Informer,0.014872540713605878,0.00021807182974137147,0.0197672170369121,0.000368161324295526,1.6990574303592794,0.02390998059592128,0.8479699343159751,0.00564218613323284,0.9232524042993603,0.0019087477084156108,0.08183690203780933,0.008496225464681576,0.01137998687298839,0.0004720017653449647
SOH_40to60,TimeWarping,iTransformer,0.014748113055440479,0.0012074030726407221,0.0191655128756053,0.001971301378711466,1.6731184233816898,0.14381585427444502,0.8556226144027443,0.029804158075895763,0.9285913011932294,0.01695903942751142,0.08205220081315798,0.0073510015632293774,0.011934801950824081,0.0008811966050275631
SOH_40to60,Scaling,MLP,0.011376397340554876,0.000182293905067023,0.014656354730728769,9.002228968611146e-05,1.3003458655024218,0.01985106643543289,0.9164481409633278,0.0010299950162447364,0.9579555374087938,0.0006409315412022214,0.07420080868495667,0.002859651986446761,0.009422274801898278,0.00022711593046795747
SOH_40to60,Scaling,CNN,0.009986400590911128,0.0001896948005601024,0.013325590108975549,0.0002521551770461943,1.1413819546300679,0.023872291919901808,0.9309098434640475,0.0026171965180789582,0.9652533499290321,0.0012318655504220276,0.06974969267675375,0.0014430159074617175,0.007869175844810661,0.00023081410167511467
SOH_40to60,Scaling,RNN,0.011593304448665766,0.00012142919636410037,0.01465060451504297,7.198053104484589e-05,1.3231944612451074,0.012640914419161127,0.9165148232485686,0.0008184369213128139,0.9576662242989251,0.0004947377056841585,0.07236475906865589,0.002318222192315706,0.010087582006678864,0.00013203634856564592
SOH_40to60,Scaling,LSTM,0.01389228564318038,0.002331652712043952,0.017670930752334064,0.002945389540103589,1.5834256131773494,0.26177786797132213,0.8751732280839558,0.04167551251067926,0.936840349454736,0.023148973560944662,0.07924878192277036,0.008442446865038856,0.011895875453091264,0.002600487576196822
SOH_40to60,Scaling,Transformer,0.011051563054061209,0.00022395389749359145,0.015663630527674978,0.0005083448245547316,1.2589069185579072,0.026410977382756388,0.9044721861296402,0.00619310320451177,0.9513022470535942,0.003152924832161954,0.09043765026918175,0.008174770412162219,0.007990522603593796,0.00023723418616639408
SOH_40to60,Scaling,PatchTST,0.015266347480258874,0.0010590898160518357,0.01999551288128032,0.001418411467812567,1.7333466570883023,0.12104745980722195,0.8437094290879801,0.021659811527936317,0.9206693255497955,0.011430759852868838,0.09320248048606747,0.006239492463848574,0.012182906556944862,0.001213643924701082
SOH_40to60,Scaling,Informer,0.014120039917136843,0.00019623448947400296,0.018468236339589043,0.0004123100454405378,1.6103007960344384,0.022799536739288483,0.8672742913360512,0.005966023525807352,0.9327403611424054,0.002535033183367917,0.07800075889919748,0.0035831378067584,0.011202599647464895,0.000551060677324241
SOH_40to60,Scaling,iTransformer,0.013062857285918125,0.0006599044871552016,0.01741603668376791,0.0004881790960981556,1.4845206716559844,0.0728295487981937,0.8819332651799078,0.006623232709217357,0.9400710239435206,0.0027300525781223488,0.09225760824045774,0.0034358977121223006,0.010303792464886441,0.0008740719064427712
SOH_50to50,Baseline,MLP,0.01352384184533231,0.000156561386781493,0.016739942612497893,0.00024703505773650074,1.5548797223023159,0.017419894974689425,0.8835626198407744,0.003444933835239384,0.940639930312462,0.0011843675338057383,0.07236567370194483,0.003216494691215348,0.011754470196196354,0.00016599926527793152
